run,label,mode,start_x,start_y,start_r,num_alpides,num_events,strobe,ithr,energy,MU,current,Exposure time (ms),Beam delay (ms),Beam on delay (ms),Beam off delay (ms),Loops,Trigger Freq. (Hz),X step (mm),Y step (mm),R step (degree),qa_pos_x,qa_pos_y,qa_pos_r,vel_x,vel_y,vel_r
1,Trt-no-step-1loop,treatment,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,1,9500,0,0,0,,,,2.5,2.5,6
2,Trt-X-step-3loop,treatment,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,3,9500,2,0,0,,,,2.5,2.5,6
3,Trt-Y-step-3loop,treatment,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,3,9500,0,2,0,,,,2.5,2.5,6
4,Trt-R-step-3loop,treatment,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,3,9500,0,0,10,,,,2.5,2.5,6
5,Trt-XYR-step-3loop,treatment,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,3,9500,2,2,10,,,,2.5,2.5,6
6,Trt-R-step-fast,treatment,0,0,30,6,1000000,200,60,70,40000,10,2000,200,200,200,2,9500,0,0,10,,,,2.5,2.5,20
7,QA-R-only,qa,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,1,9500,,,,,,60,0,0,6
8,QA-X-only,qa,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,1,9500,,,,10,,,2.53,0,0
9,QA-Y-only,qa,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,1,9500,,,,,5,,0,2.43,0
10,QA-XYR-all,qa,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,1,9500,,,,10,5,60,2.53,2.43,6
12,QA-static-manual,qa,0,0,0,6,1000000,200,60,70,40000,10,2000,200,200,200,1,9500,,,,,,,0,0,0
13,QA-start-pos,qa,10,5,0,6,1000000,200,60,70,40000,10,2000,200,200,200,1,9500,,,,,,45,2.53,2.43,6
